GAME_CLIENT_KEY,CLIENT_ID,GAME_ID,GAME_NAME,GAME_TYPE,TENANT_NAME,SOURCE_DATABASE,STATUS
4b3ab80e27f43a64e81f1eeed1179648,opta,opta_games_hub_euros,Opta Games Hub Euros,pickem,,low6_us,archived
3d9ccdb2a13b3c950fe16983c1034278,opta,opta_predictor_bracket_euros,Opta Predictor Bracket Euros,bracket,,low6_us,archived
4f2289454936fcce6d87d33925573cbd,opta,opta_streak,Opta Streak,streak,,low6,archived
1001adf92d93e46fa2e6eed8150f7332,opta,opta_streak,Opta Streak,streak,,low6_us,archived
e646b948b88e83e70d01cff1c5ccf701,pga,pga,PGA Picks,pickem,,low6_us,archived
dd9966be5dffea88ffeea477b4bcaea3,pivot,pivot_bracket,Pivot Bracket,bracket,,low6_azureuksouth,archived
f8de3b3d322f5b1f632247ec3c712ef7,powerleague,powerleague_picks,Powerleague Picks,pickem,,low6_us,archived
ee9ab02512fdb88d1247e9063e22e94d,rivalry,rivalry,Rivalry NBA,pickem,,LOW6_AUS,archived
f88d2b8f0d5e28aa00694d93a1db2e2b,rivalry,rivalry,Rivalry Pickem,pickem,,low6_us,archived
bc117e082551732c7ca964ecaa9dc540,rivalry,rivalry_uf_nba_br,Rivalry NBA UF,fantasy,,low6_us,archived
38472cdcad4e8599e349d0149f805f77,saracen,saracen_bracket,Saracen Bracket,bracket,,low6_azureeastus2,archived
6618df42ffd040003830faca67934001,saracen,saracen_pickem,Saracen Pickem,pickem,,low6_azureeastus2,live
13bddd75f2d1f7a453d13cce70e256ce,sbio,sbio,SBIO,pickem,,low6,archived
efc95ffcc0ba62623845563b2eebceb2,sbio,sbio_squads,SBIO Squads,squads,,low6,archived
924bbbe885a96ddf323bb1036ca75917,sportbible,sportbible_picks,Sport Bible Picks,pickem,,low6,archived
7d02fd0f5400bd02e267fc492d307918,sports_interaction,sportsint_bracket,Sports Interaction Bracket,bracket,,low6_us,archived
c5b2112f390db6d4bbcfa9641a4424a7,sports_interaction,sportsint_danglepicks,Sports Interaction Dangle Picks,pickem,,low6_us,archived
72bec9d26214599ec7cdd1e6b30190e0,sports_interaction,sportsint_nhlbracket,Sports Interaction NHL Bracket,bracket,,low6_us,archived
904a52b5fce25d5387cedce75a3f2db2,sports_interaction,sportsint_picks,Sports Interaction Picks,pickem,,low6_us,archived
8112d11314125234baab027043b0eb78,sportsbet,sportsbet,Sportsbet World Cup,pickem,,LOW6_AUS,archived
5e1a2c49dca9eadeb58dce7a26387e8a,superbet,superbet,Superbet Ultimate Fan,fantasy,,low6,archived
ef495a88df9383d775778ff195ed1db2,tipman,tipman_pickem,Tipman Pickem,pickem,,low6_azureuksouth,live
47ca2f3eb0cd325c2c3a0d7739004ff7,uf_epl2122,uf_epl2122,UF EPL 21/22,fantasy,,low6,archived
72d31f049c65670afa229d17d1834139,uf_epl2324,uf_epl2324,Premier League,fantasy,Premier League,low6,archived
9ffdb05ea513b3a7f75b22f13bf36f52,uf_epl2324_denmark,uf_epl2324_denmark,Premier League,fantasy,Premier League,low6,archived
a3da062b6b57be5e4db91e0c7dfa3bf3,uf_euro2020,uf_euro2020,UF Euro 2020,fantasy,,low6,archived
30948eb1810fc06627b51ef37ee171d6,uf_euro2024,uf_euro2024,Premier League,fantasy,Premier League,low6,archived
8f944d7886d38b80c7db0527f513a295,uf_euro2024_denmark,uf_euro2024_denmark,Premier League,fantasy,Premier League,low6,archived
0453c2ef1f973e8b3bd497b370aad06d,uf3,uf3,UF3,fantasy,,low6,archived
0370a5a59ec22cc57fe68574ebf9423f,wendys,wendys_survivor,Wendy's Daily Faceoff Survivor,streak,,low6_us,archived
18a23b4fef09becc3a05b54e26e4f210,wta,wta_picks,WTA Picks,pickem,,low6_us,archived
08e876c1fb300a71846a5300dc764b76,wta,wta_streaks,WTA Streaks,streak,,low6_us,archived
e837d9426414956580de9283dcf5c4da,prizekings,prizekings_comps,Prizekings,prize_competition,South Africa,low6_azureuksouth,live
604d59fb8e18b16c7b26f1f36c318d5e,prizekings,prizekings_comps,Prizekings,prize_competition,United Kingdom,low6_azureuksouth,archived
1bc66bcabad9e37c379acafd76d63bdb,caesars,caesars,William Hill Pickem,pickem,William Hill,low6_awsuseast1,live
9269d81f78f1d8fe21536c2b5351ad78,caesars,caesars,Caesars Pickem,pickem,Caesars,low6_awsuseast1,live
06b533c6d322b642f9a5344f0ee2657c,caesars,caesars,Caesars Squads,squads,Caesars,low6_awsuseast1,live
dd69fa0e8e12f45670fdf620e0f90d6b,caesars,caesars,William Hill Squads,squads,William Hill,low6_awsuseast1,live
